Country	Culture_sub_heading
China 	  Tourism in China 
China 	  Literature 
China 	  Cuisine 
China 	  Music 
China 	  Cinema 
China 	  Fashion 
China 	  Sports 
India 	  Visual art 
India 	  Architecture 
India 	  Literature 
India 	  Performing arts and media 
India 	  Society 
India 	  Education 
India 	  Clothing 
India 	  Cuisine 
India 	  Sports and recreation 
United_States 	  Literature, philosophy, and visual art 
United_States 	  Food 
United_States 	  Music 
United_States 	  Cinema 
United_States 	  Sports 
United_States 	  Mass media 
Indonesia 	  Art and architecture 
Indonesia 	  Music, dance and clothing 
Indonesia 	  Theatre and cinema 
Indonesia 	  Mass media and literature 
Indonesia 	  Cuisine 
Indonesia 	  Sports 
Brazil 	  Architecture 
Brazil 	  Music 
Brazil 	  Literature 
Brazil 	  Cuisine 
Brazil 	  Cinema 
Brazil 	  Theatre 
Brazil 	  Visual arts 
Brazil 	  Sports 
Nigeria 	  Literature 
Nigeria 	  Music And Festivals 
Nigeria 	  Cinema 
Nigeria 	  Comedy 
Nigeria 	  Cuisine 
Nigeria 	  Sport 
Bangladesh 	  Visual arts 
Bangladesh 	  Literature 
Bangladesh 	  Women in Bangladesh 
Bangladesh 	  Architecture 
Bangladesh 	  Performing arts 
Bangladesh 	  Textiles 
Bangladesh 	  Cuisine 
Bangladesh 	  Festivals 
Bangladesh 	  Sports 
Bangladesh 	  Media and cinema 
Bangladesh 	  Museums and libraries 
Russia 	  Art and architecture 
Russia 	  Music 
Russia 	  Literature and philosophy 
Russia 	  Cuisine 
Russia 	  Media 
Russia 	  Sports 
Mexico 	  Painting 
Mexico 	  Sculpture 
Mexico 	  Architecture 
Mexico 	  Photography 
Mexico 	  Literature 
Mexico 	  Cinema 
Mexico 	  Media 
Mexico 	  Cuisine 
Mexico 	  Music 
Mexico 	  Sports 
Japan 	  Art and architecture 
Japan 	  Literature and philosophy 
Japan 	  Performing arts 
Japan 	  Customs and holidays 
Japan 	  Cuisine 
Japan 	  Media 
Japan 	  Sports 
Ethiopia 	  Naming 
Ethiopia 	  Calendar 
Ethiopia 	  Time 
Ethiopia 	  Cuisine 
Ethiopia 	  Media 
Ethiopia 	  Music 
Ethiopia 	  Sport 
Egypt 	  Arts 
Egypt 	  Literature 
Egypt 	  Media 
Egypt 	  Cinema 
Egypt 	  Music 
Egypt 	  Dances 
Egypt 	  Museums 
Egypt 	  Festivals 
Egypt 	  Cuisine 
Egypt 	  Sports 
Vietnam 	  Literature 
Vietnam 	  Music 
Vietnam 	  Cuisine 
Vietnam 	  Media 
Vietnam 	  Holidays and festivals 
Vietnam 	  Sports 
Iran 	  Art 
Iran 	  Architecture 
Iran 	  Weaving 
Iran 	  Literature 
Iran 	  Philosophy 
Iran 	  Mythology 
Iran 	  Music 
Iran 	  Theater 
Iran 	  Cinema and animation 
Iran 	  Observances 
Iran 	  Public holidays 
Iran 	  Cuisine 
Iran 	  Sports 
Iran 	  Media 
Iran 	  Fashion and clothing 
Turkey 	  Visual arts 
Turkey 	  Literature and theatre 
Turkey 	  Music and dance 
Turkey 	  Architecture 
Turkey 	  Cuisine 
Turkey 	  Sports 
Turkey 	  Media and cinema 
Germany 	  Music 
Germany 	  Art and design 
Germany 	  Literature and philosophy 
Germany 	  Media 
Germany 	  Cuisine 
Germany 	  Sports 
France 	  Art 
